Inns,Score,Overs,Conc,Wkts,Ct,St,Unnamed: 7,Opposition,Ground,Start Date,        Type,Format,Team
1,-,DNB,-,-,2,0,,Test v Australia,Pune,23-Feb-17,Test # 2250,Test, Australia
2,0,-,-,-,-,-,,Test v Australia,Pune,23-Feb-17,Test # 2250,Test, Australia
3,-,DNB,-,-,0,0,,Test v Australia,Pune,23-Feb-17,Test # 2250,Test, Australia
4,13,-,-,-,-,-,,Test v Australia,Pune,23-Feb-17,Test # 2250,Test, Australia
1,12,-,-,-,-,-,,Test v Australia,Bengaluru,04-Mar-17,Test # 2251,Test, Australia
2,-,DNB,-,-,0,0,,Test v Australia,Bengaluru,04-Mar-17,Test # 2251,Test, Australia
3,15,-,-,-,-,-,,Test v Australia,Bengaluru,04-Mar-17,Test # 2251,Test, Australia
4,-,DNB,-,-,0,0,,Test v Australia,Bengaluru,04-Mar-17,Test # 2251,Test, Australia
1,-,DNB,-,-,1,0,,Test v Australia,Ranchi,16-Mar-17,Test # 2256,Test, Australia
2,6,-,-,-,-,-,,Test v Australia,Ranchi,16-Mar-17,Test # 2256,Test, Australia
3,-,DNB,-,-,0,0,,Test v Australia,Ranchi,16-Mar-17,Test # 2256,Test, Australia
1,81*,-,-,-,-,-,,ODI v Pakistan,Birmingham,04-Jun-17,ODI # 3878,ODI ,Pakistan
2,-,DNB,-,-,0,0,,ODI v Pakistan,Birmingham,04-Jun-17,ODI # 3878,ODI ,Pakistan
1,0,-,-,-,-,-,,ODI v Sri Lanka,The Oval,08-Jun-17,ODI # 3882,ODI ,Sri Lanka
2,-,3,17,0,0,0,,ODI v Sri Lanka,The Oval,08-Jun-17,ODI # 3882,ODI ,Sri Lanka
1,-,DNB,-,-,1,0,,ODI v South Africa,The Oval,11-Jun-17,ODI # 3886,ODI ,South Africa
2,76*,-,-,-,-,-,,ODI v South Africa,The Oval,11-Jun-17,ODI # 3886,ODI ,South Africa
1,-,DNB,-,-,1,0,,ODI v Bangladesh,Birmingham,15-Jun-17,ODI # 3891,ODI ,Bangladesh
2,96*,-,-,-,-,-,,ODI v Bangladesh,Birmingham,15-Jun-17,ODI # 3891,ODI ,Bangladesh
1,-,DNB,-,-,0,0,,ODI v Pakistan,The Oval,18-Jun-17,ODI # 3894,ODI ,Pakistan
2,5,-,-,-,-,-,,ODI v Pakistan,The Oval,18-Jun-17,ODI # 3894,ODI ,Pakistan
0,-,TDNB,-,-,-,-,,ODI v West Indies,Port of Spain,23-Jun-17,ODI # 3895,ODI ,West Indies
1,32*,-,-,-,-,-,,ODI v West Indies,Port of Spain,23-Jun-17,ODI # 3895,ODI ,West Indies
1,87,-,-,-,-,-,,ODI v West Indies,Port of Spain,25-Jun-17,ODI # 3896,ODI ,West Indies
2,-,DNB,-,-,0,0,,ODI v West Indies,Port of Spain,25-Jun-17,ODI # 3896,ODI ,West Indies
1,11,-,-,-,-,-,,ODI v West Indies,North Sound,30-Jun-17,ODI # 3898,ODI ,West Indies
2,-,DNB,-,-,0,0,,ODI v West Indies,North Sound,30-Jun-17,ODI # 3898,ODI ,West Indies
1,-,DNB,-,-,1,0,,ODI v West Indies,North Sound,02-Jul-17,ODI # 3900,ODI ,West Indies
2,3,-,-,-,-,-,,ODI v West Indies,North Sound,02-Jul-17,ODI # 3900,ODI ,West Indies
1,-,DNB,-,-,1,0,,ODI v West Indies,Kingston,06-Jul-17,ODI # 3902,ODI ,West Indies
2,111*,-,-,-,-,-,,ODI v West Indies,Kingston,06-Jul-17,ODI # 3902,ODI ,West Indies
1,39,-,-,-,-,-,,T20I v West Indies,Kingston,09-Jul-17,T20I # 617,T20I, West Indies
2,-,DNB,-,-,0,0,,T20I v West Indies,Kingston,09-Jul-17,T20I # 617,T20I, West Indies
1,3,-,-,-,-,-,,Test v Sri Lanka,Galle,26-Jul-17,Test # 2265,Test, Sri Lanka
2,-,DNB,-,-,1,0,,Test v Sri Lanka,Galle,26-Jul-17,Test # 2265,Test, Sri Lanka
3,103*,-,-,-,-,-,,Test v Sri Lanka,Galle,26-Jul-17,Test # 2265,Test, Sri Lanka
4,-,DNB,-,-,1,0,,Test v Sri Lanka,Galle,26-Jul-17,Test # 2265,Test, Sri Lanka
1,13,-,-,-,-,-,,Test v Sri Lanka,Colombo (SSC),03-Aug-17,Test # 2267,Test, Sri Lanka
2,-,DNB,-,-,1,0,,Test v Sri Lanka,Colombo (SSC),03-Aug-17,Test # 2267,Test, Sri Lanka
3,-,DNB,-,-,0,0,,Test v Sri Lanka,Colombo (SSC),03-Aug-17,Test # 2267,Test, Sri Lanka
1,42,-,-,-,-,-,,Test v Sri Lanka,Pallekele,12-Aug-17,Test # 2269,Test, Sri Lanka
2,-,DNB,-,-,0,0,,Test v Sri Lanka,Pallekele,12-Aug-17,Test # 2269,Test, Sri Lanka
3,-,DNB,-,-,0,0,,Test v Sri Lanka,Pallekele,12-Aug-17,Test # 2269,Test, Sri Lanka
1,-,DNB,-,-,0,0,,ODI v Sri Lanka,Dambulla,20-Aug-17,ODI # 3905,ODI ,Sri Lanka
2,82*,-,-,-,-,-,,ODI v Sri Lanka,Dambulla,20-Aug-17,ODI # 3905,ODI ,Sri Lanka
1,-,DNB,-,-,1,0,,ODI v Sri Lanka,Pallekele,24-Aug-17,ODI # 3906,ODI ,Sri Lanka
2,4,-,-,-,-,-,,ODI v Sri Lanka,Pallekele,24-Aug-17,ODI # 3906,ODI ,Sri Lanka
1,-,DNB,-,-,0,0,,ODI v Sri Lanka,Pallekele,27-Aug-17,ODI # 3907,ODI ,Sri Lanka
2,3,-,-,-,-,-,,ODI v Sri Lanka,Pallekele,27-Aug-17,ODI # 3907,ODI ,Sri Lanka
1,131,-,-,-,-,-,,ODI v Sri Lanka,Colombo (RPS),31-Aug-17,ODI # 3908,ODI ,Sri Lanka
2,-,2,12,0,0,0,,ODI v Sri Lanka,Colombo (RPS),31-Aug-17,ODI # 3908,ODI ,Sri Lanka
1,-,DNB,-,-,1,0,,ODI v Sri Lanka,Colombo (RPS),03-Sep-17,ODI # 3909,ODI ,Sri Lanka
2,110*,-,-,-,-,-,,ODI v Sri Lanka,Colombo (RPS),03-Sep-17,ODI # 3909,ODI ,Sri Lanka
1,-,DNB,-,-,1,0,,T20I v Sri Lanka,Colombo (RPS),06-Sep-17,T20I # 618,T20I, Sri Lanka
2,82,-,-,-,-,-,,T20I v Sri Lanka,Colombo (RPS),06-Sep-17,T20I # 618,T20I, Sri Lanka
1,0,-,-,-,-,-,,ODI v Australia,Chennai,17-Sep-17,ODI # 3910,ODI ,Australia
2,-,DNB,-,-,0,0,,ODI v Australia,Chennai,17-Sep-17,ODI # 3910,ODI ,Australia
1,92,-,-,-,-,-,,ODI v Australia,Eden Gardens,21-Sep-17,ODI # 3912,ODI ,Australia
2,-,DNB,-,-,0,0,,ODI v Australia,Eden Gardens,21-Sep-17,ODI # 3912,ODI ,Australia
1,-,DNB,-,-,0,0,,ODI v Australia,Indore,24-Sep-17,ODI # 3914,ODI ,Australia
2,28,-,-,-,-,-,,ODI v Australia,Indore,24-Sep-17,ODI # 3914,ODI ,Australia
1,-,DNB,-,-,1,0,,ODI v Australia,Bengaluru,28-Sep-17,ODI # 3917,ODI ,Australia
2,21,-,-,-,-,-,,ODI v Australia,Bengaluru,28-Sep-17,ODI # 3917,ODI ,Australia
1,-,DNB,-,-,0,0,,ODI v Australia,Nagpur,01-Oct-17,ODI # 3919,ODI ,Australia
